InvoiceDate,Quantity,TotalRevenue,Transactions
2010-11-29/2010-12-05,878,1821.67,58
2010-12-06/2010-12-12,1999,3964.38,87
2010-12-13/2010-12-19,1219,527.58,59
2010-12-20/2010-12-26,540,753.8100000000001,19
2011-01-03/2011-01-09,1252,1588.0800000000002,41
2011-01-10/2011-01-16,901,1867.44,48
2011-01-17/2011-01-23,1549,2350.03,53
2011-01-24/2011-01-30,2360,6121.37,146
2011-01-31/2011-02-06,553,1343.46,41
2011-02-07/2011-02-13,1502,2679.05,53
2011-02-14/2011-02-20,2787,4304.72,82
2011-02-21/2011-02-27,971,1696.06,45
2011-02-28/2011-03-06,2320,4404.5,120
2011-03-07/2011-03-13,596,1086.29,61
2011-03-14/2011-03-20,1034,1986.22,56
2011-03-21/2011-03-27,844,1619.68,52
2011-03-28/2011-04-03,1266,2332.16,33
2011-04-04/2011-04-10,2969,5763.97,114
2011-04-11/2011-04-17,663,1757.41,62
2011-04-18/2011-04-24,514,989.46,28
2011-04-25/2011-05-01,308,496.05,31
2011-05-02/2011-05-08,352,561.35,29
2011-05-09/2011-05-15,1805,3402.65,75
2011-05-16/2011-05-22,1143,1657.9,37
2011-05-23/2011-05-29,1241,2278.6,68
2011-05-30/2011-06-05,859,2073.33,59
2011-06-06/2011-06-12,1524,3399.03,116
2011-06-13/2011-06-19,2787,4681.75,82
2011-06-20/2011-06-26,1584,2941.77,118
2011-06-27/2011-07-03,880,1242.19,21
2011-07-04/2011-07-10,520,910.78,27
2011-07-11/2011-07-17,1772,3127.44,116
2011-07-18/2011-07-24,1519,3654.0099999999998,103
2011-07-25/2011-07-31,2930,4886.74,116
2011-08-01/2011-08-07,1145,2294.88,89
2011-08-08/2011-08-14,2251,2983.4,76
2011-08-15/2011-08-21,3281,5352.93,141
2011-08-22/2011-08-28,758,1859.93,81
2011-08-29/2011-09-04,1009,2194.78,61
2011-09-05/2011-09-11,1030,1366.33,56
2011-09-12/2011-09-18,1597,2150.65,25
2011-09-19/2011-09-25,2632,4005.33,93
2011-09-26/2011-10-02,486,955.04,52
2011-10-03/2011-10-09,2171,4304.88,119
2011-10-10/2011-10-16,1978,3998.77,240
2011-10-17/2011-10-23,3094,5029.0599999999995,119
2011-10-24/2011-10-30,1975,3192.8,96
2011-10-31/2011-11-06,1947,3654.63,140
2011-11-07/2011-11-13,1128,2411.81,64
2011-11-14/2011-11-20,3319,5581.77,160
2011-11-21/2011-11-27,1529,3298.71,96
2011-11-28/2011-12-04,1385,2121.13,72
2011-12-05/2011-12-11,1194,1860.94,99
